"timestamp","instance","resource","value"
"2020-06-21 02:00:11","3","3306","0.02"
"2020-06-21 02:00:12","3","3308","926.5"
"2020-06-21 02:00:12","3","3316","3.97"
"2020-06-21 02:02:14","5","3303","-127.0"
"2020-06-21 02:02:15","5","3304","-127.0"
"2020-06-21 02:02:15","5","3307","3.3"
"2020-06-21 02:02:15","5","3305","3.3"
"2020-06-21 02:02:15","5","3306","1.69"
"2020-06-21 02:02:15","5","3308","0.0"
"2020-06-21 02:02:15","5","3316","4.01"
"2020-06-21 02:03:29","5","3303","-127.0"
"2020-06-21 02:03:29","5","3304","-127.0"
"2020-06-21 02:03:29","5","3307","3.3"
"2020-06-21 02:03:29","5","3305","3.3"
"2020-06-21 02:03:29","5","3306","1.69"
"2020-06-21 02:03:29","5","3308","0.0"
"2020-06-21 02:03:30","5","3316","4.01"
"2020-06-21 02:05:39","3","3303","21.3"
"2020-06-21 02:05:39","3","3304","76.8"
"2020-06-21 02:05:39","3","3307","3.3"
"2020-06-21 02:05:39","3","3305","3.3"
"2020-06-21 02:05:39","3","3306","0.02"
"2020-06-21 02:05:39","3","3308","926.3"
"2020-06-21 02:05:40","3","3316","3.97"
"2020-06-21 02:05:43","5","3303","-127.0"
"2020-06-21 02:05:43","5","3304","-127.0"
"2020-06-21 02:05:43","5","3307","3.3"
"2020-06-21 02:05:44","5","3305","3.3"
"2020-06-21 02:05:44","5","3306","1.69"
"2020-06-21 02:05:44","5","3308","0.0"
"2020-06-21 02:05:44","5","3316","4.01"
"2020-06-21 02:07:45","3","3303","21.3"
"2020-06-21 02:07:45","3","3304","76.8"
"2020-06-21 02:07:45","3","3307","3.3"
"2020-06-21 02:07:45","3","3305","3.3"
"2020-06-21 02:07:45","3","3306","0.02"
"2020-06-21 02:07:46","3","3308","926.4"
"2020-06-21 02:07:46","3","3316","3.97"
"2020-06-21 02:09:07","5","3303","-127.0"
